cities,geocoded,point,lat,lon
"CHALONS EN CHAMPAGNE, FRANCE","51000 Châlons-en-Champagne, France","(48.956682, 4.363073, 0.0)",48.956682,4.363073
"LEZIGNAN, FRANCE","11200 Lézignan-Corbières, France","(43.200503, 2.7577759, 0.0)",43.200503,2.7577759
"CHAMBERY CHALLES LES EAUX, FRANCE","73190 Challes-les-Eaux, France","(45.5523809, 5.983245999999999, 0.0)",45.5523809,5.983245999999999
"LANNION, FRANCE","22300 Lannion, France","(48.732084, -3.459144, 0.0)",48.732084,-3.459144
"LATOUR DE CAROL ENVEITG, FRANCE","66760 Latour-de-Carol, France","(42.465035, 1.890716, 0.0)",42.465035,1.890716
"MOULINS SUR ALLIER, FRANCE","03000 Moulins, France","(46.568059, 3.334417, 0.0)",46.568059,3.334417
"BRIVE LA GAILLARDE, FRANCE","19100 Brive-la-Gaillarde, France","(45.159555, 1.533937, 0.0)",45.159555,1.533937
"LES CABANNES, FRANCE","09310 Les Cabannes, France","(42.784916, 1.685479, 0.0)",42.784916,1.685479
"ST DIE DES VOSGES, FRANCE","88100 Saint-Dié-des-Vosges, France","(48.2874679, 6.947767, 0.0)",48.2874679,6.947767
"FRASNE, FRANCE","25560 Frasne, France","(46.856048, 6.159485999999999, 0.0)",46.856048,6.159485999999999
"LENS, FRANCE","Lens, France","(50.42893000000001, 2.83183, 0.0)",50.42893000000001,2.83183
"VIVIEZ DECAZEVILLE, FRANCE","Viviez, France","(44.555304, 2.217348, 0.0)",44.555304,2.217348
"PAMIERS, FRANCE","09100 Pamiers, France","(43.114753, 1.607953, 0.0)",43.114753,1.607953
"LILLE EUROPE, FRANCE","Lille, France","(50.62925, 3.057256, 0.0)",50.62925,3.057256
"AVIGNON TGV, FRANCE","Gare d'Avignon TGV, 84000 Avignon, France","(43.9220325, 4.785868199999999, 0.0)",43.9220325,4.785868199999999
"CAUSSADE TARN ET GARONNE, FRANCE","82300 Caussade, France","(44.15799699999999, 1.542131, 0.0)",44.15799699999999,1.542131
"ST MAIXENT DEUX SEVRES, FRANCE","79400 Saint-Maixent-l'École, France","(46.41316500000001, -0.20341, 0.0)",46.41316500000001,-0.20341
"LA SOUTERRAINE, FRANCE","23300 La Souterraine, France","(46.239087, 1.482986, 0.0)",46.239087,1.482986
"CHATELLERAULT, FRANCE","86100 Châtellerault, France","(46.816487, 0.548146, 0.0)",46.816487,0.548146
"NIORT, FRANCE","79000 Niort, France","(46.323716, -0.4647769999999999, 0.0)",46.323716,-0.4647769999999999
"PARIS (intramuros), FRANCE","Paris, France","(48.856614, 2.3522219, 0.0)",48.856614,2.3522219
"REIMS, FRANCE","51100 Reims, France","(49.258329, 4.031696, 0.0)",49.258329,4.031696
"AUBIN, FRANCE","Aubin, France","(44.527578, 2.24646, 0.0)",44.527578,2.24646
"ANGOULEME, FRANCE","Angoulême, France","(45.648377, 0.1562369, 0.0)",45.648377,0.1562369
"BAR LE DUC, FRANCE","55000 Bar-le-Duc, France","(48.773605, 5.158238000000001, 0.0)",48.773605,5.158238000000001
"LYON (gares intramuros), FRANCE","Lyon, France","(45.764043, 4.835659, 0.0)",45.764043,4.835659
"CANNES, FRANCE","Cannes, France","(43.552847, 7.017369, 0.0)",43.552847,7.017369
"MONTAUBAN VILLE BOURBON, FRANCE","Montauban Ville Bourbon, Pl. de la Gare, 82000 Montauban, France","(44.0143154, 1.3414422, 0.0)",44.0143154,1.3414422
"VALENCE TGV RHONE ALPES SUD, FRANCE","Gare de Valence TGV Rhône-Alpes Sud, 26300 Alixan, France","(44.9919742, 4.978606699999999, 0.0)",44.9919742,4.978606699999999
"NIMES, FRANCE","Nîmes, France","(43.836699, 4.360054, 0.0)",43.836699,4.360054
"CORBIERES LES AUBRAIS ORLEANS, FRANCE","45400 Fleury-les-Aubrais, France","(47.9339567, 1.9169628, 0.0)",47.9339567,1.9169628
"RENNES, FRANCE","Rennes, France","(48.117266, -1.6777926, 0.0)",48.117266,-1.6777926
"LE CROISIC, FRANCE","Le Croisic, France","(47.29431899999999, -2.511908, 0.0)",47.29431899999999,-2.511908
"STRASBOURG, FRANCE","Strasbourg, France","(48.5734053, 7.752111299999999, 0.0)",48.5734053,7.752111299999999
